version,company_name,industry,market_cap,goal,impact
Previous,Commercial Bank of Dubai PSC,Banks,3006.358129,03 - Health,-191.5193481
Previous,Commercial Bank of Dubai PSC,Banks,3006.358129,13 - Climate change,-225.7722348
Previous,Ukrsotsbank PJSC,Banks,219.7296383,03 - Health,-191.5193481
Previous,Ukrsotsbank PJSC,Banks,219.7296383,13 - Climate change,-177.1036765
Previous,BreadTalk Group Ltd.,Restaurants,270.0911205,03 - Health,-112.8441416
Previous,BreadTalk Group Ltd.,Restaurants,270.0911205,13 - Climate change,-3338.396644
Previous,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL.LTD,Pharmaceuticals,23169.57908,03 - Health,-466.5759748
Previous,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL.LTD,Pharmaceuticals,23169.57908,13 - Climate change,-897.713245
Previous,Sociedad Matriz del Banco de Chile SA,Banks,5280.870936,03 - Health,-73.94281132
Previous,Sociedad Matriz del Banco de Chile SA,Banks,5280.870936,13 - Climate change,-177.1036765
Previous,CHINESE FOOD AND BEVERAGE GROUP LIMITED,Restaurants,1.240918177,03 - Health,-365.5681145
Previous,CHINESE FOOD AND BEVERAGE GROUP LIMITED,Restaurants,1.240918177,13 - Climate change,-1801.284675
Previous,UNIONE DI BANCHE ITALIANE SOCIETA PER AZIONI,Banks,3710.10945,03 - Health,-92.41041977
Previous,UNIONE DI BANCHE ITALIANE SOCIETA PER AZIONI,Banks,3710.10945,13 - Climate change,-126.6969886
Previous,DAWNRAYS PHARMACEUTICAL (HOLDINGS) LIMITED,Pharmaceuticals,270.3892788,03 - Health,77678004.97
Previous,DAWNRAYS PHARMACEUTICAL (HOLDINGS) LIMITED,Pharmaceuticals,270.3892788,13 - Climate change,-11640.377
Previous,CRH Medical Corporation,Health Care Services,164.7135595,03 - Health,-266.0741333
Previous,CRH Medical Corporation,Health Care Services,164.7135595,13 - Climate change,-800.1387671
Previous,CHINA HEALTH GROUP INC.,Pharmaceuticals,52.37478396,03 - Health,-324.3203163
Previous,CHINA HEALTH GROUP INC.,Pharmaceuticals,52.37478396,13 - Climate change,-1824.490201
Previous,PT Bank Bukopin Tbk,Banks,1353.293053,03 - Health,-525.9207945
Previous,PT Bank Bukopin Tbk,Banks,1353.293053,13 - Climate change,-789.8719512
Previous,MEDICAMEN BIOTECH LIMITED,Pharmaceuticals,30.92741465,03 - Health,86421600.94
Previous,MEDICAMEN BIOTECH LIMITED,Pharmaceuticals,30.92741465,13 - Climate change,-4677.796272
Previous,NOW CORPORATION,Technology,154.4700488,03 - Health,-13.19511334
Previous,NOW CORPORATION,Technology,154.4700488,13 - Climate change,-374.5562273
Previous,VISTA PHARMACEUTICALS LTD.,Pharmaceuticals,2.254697266,03 - Health,86421600.94
Previous,VISTA PHARMACEUTICALS LTD.,Pharmaceuticals,2.254697266,13 - Climate change,-5866.78143
Previous,FUTURA MEDICAL PLC,Pharmaceuticals,49.62261798,03 - Health,-324.3203163
Previous,FUTURA MEDICAL PLC,Pharmaceuticals,49.62261798,13 - Climate change,-2442.038187
Previous,"""Kaspi Bank"" Joint Stock Company",Banks,378.4817964,03 - Health,-191.5193481
Previous,"""Kaspi Bank"" Joint Stock Company",Banks,378.4817964,13 - Climate change,-289.8261146
Previous,ATFBank Joint-Stock Company,Banks,141.8521987,03 - Health,-191.5193481
Previous,ATFBank Joint-Stock Company,Banks,141.8521987,13 - Climate change,-289.1731178
Previous,Croatia Airlines dd,Airlines,83.83735667,03 - Health,-9697.894044
Previous,Croatia Airlines dd,Airlines,83.83735667,13 - Climate change,-37321.23462
Previous,ITALIAONLINE S.P.A.,Technology,295.7912057,03 - Health,-21.03889394
Previous,ITALIAONLINE S.P.A.,Technology,295.7912057,13 - Climate change,-374.5562273
Previous,AMMB HOLDINGS BERHAD,Banks,2206.663511,03 - Health,-85.15204133
Previous,AMMB HOLDINGS BERHAD,Banks,2206.663511,13 - Climate change,-2.551215238
Previous,THE PROVIDENCE SERVICE CORPORATION,Health Care Services,1980.1,03 - Health,-45.6078808
Previous,THE PROVIDENCE SERVICE CORPORATION,Health Care Services,1980.1,13 - Climate change,-241.3141783
Previous,SAKAE HOLDINGS LTD.,Restaurants,5.186252373,03 - Health,-365.5681145
Previous,SAKAE HOLDINGS LTD.,Restaurants,5.186252373,13 - Climate change,-1801.284675
Previous,ADVIK LABORATORIES LIMITED,Pharmaceuticals,0.096389513,03 - Health,86421600.94
Previous,ADVIK LABORATORIES LIMITED,Pharmaceuticals,0.096389513,13 - Climate change,-12704.25018
Previous,"Lifestyle Medical Network, Inc.",Health Care Services,5.55096,03 - Health,-38.51262251
Previous,"Lifestyle Medical Network, Inc.",Health Care Services,5.55096,13 - Climate change,-406.1582601
Previous,"Kakaku.com,Inc.",Technology,3760.285936,03 - Health,-8.220384721
Previous,"Kakaku.com,Inc.",Technology,3760.285936,13 - Climate change,-465.9164766
Previous,BKS Bank AG,Banks,590.1573298,03 - Health,-191.5193481
Previous,BKS Bank AG,Banks,590.1573298,13 - Climate change,-379.0829213
Previous,"HUA XIA BANK CO., Limited",Banks,13806.17956,03 - Health,-151.1263974
Previous,"HUA XIA BANK CO., Limited",Banks,13806.17956,13 - Climate change,-115.9887077
